seed,domain,method,source_model,horizon,subset,n_windows,mse,mae,rmse,mape,trend_f1
2026,Energy,strong_numerical_only,PatchTST,6,event_window,235,0.06934711372697006,0.19044842238121845,0.26333840154252103,0.05849017856281002,0.465531914893617
2026,Energy,strong_numerical_only,PatchTST,6,high_volatility_window,76,0.14043041765589998,0.3124829870566987,0.3747404670647407,0.0921602620478934,0.5
2026,Energy,strong_raw_text_fusion,TimesNet,6,event_window,235,0.06503174294763997,0.18016853839793104,0.25501322112321934,0.05604933458614963,0.48851063829787233
2026,Energy,strong_raw_text_fusion,TimesNet,6,high_volatility_window,76,0.1292863036788731,0.28795996125330003,0.3595640466994345,0.0850451358016091,0.49736842105263157
2026,Energy,strong_raw_text_fusion,PatchTST,6,event_window,235,0.06872965276744916,0.19064840391172586,0.2621634085211915,0.058556133911575624,0.46297872340425533
2026,Energy,strong_raw_text_fusion,PatchTST,6,high_volatility_window,76,0.13852147853728122,0.3109855461016036,0.37218473710951827,0.09173448743485953,0.5157894736842106
2026,Energy,strong_event_no_verifier,TimesNet,6,event_window,235,0.06923681043706524,0.18699644279818162,0.26312888559993797,0.05774058994951382,0.4868085106382979
2026,Energy,strong_event_no_verifier,TimesNet,6,high_volatility_window,76,0.14188498057010038,0.30312520762284595,0.37667622777406645,0.08940635864223843,0.4789473684210526
2026,Energy,strong_event_no_verifier,PatchTST,6,event_window,235,0.06919445740026345,0.1909465805858585,0.2630483936469931,0.05860399894436833,0.46127659574468083
2026,Energy,strong_event_no_verifier,PatchTST,6,high_volatility_window,76,0.13950167431510901,0.31180531936779354,0.37349922933670027,0.09192551563648413,0.4921052631578947
2026,Energy,strong_event_with_verifier,TimesNet,6,event_window,235,0.06503095914048697,0.18061593424343894,0.25501168432149723,0.05589992030820333,0.49957446808510636
2026,Energy,strong_event_with_verifier,TimesNet,6,high_volatility_window,76,0.13242274665578063,0.2918568266588345,0.3638993633627031,0.08620765699779691,0.5078947368421053
2026,Energy,strong_event_with_verifier,PatchTST,6,event_window,235,0.06919445740026345,0.1909465805858585,0.2630483936469931,0.05860399894436833,0.46127659574468083
2026,Energy,strong_event_with_verifier,PatchTST,6,high_volatility_window,76,0.13950167431510901,0.31180531936779354,0.37349922933670027,0.09192551563648413,0.4921052631578947
2026,Health_US,strong_numerical_only,TimesNet,3,event_window,235,0.7632072077459444,0.5770366656864788,0.8736173119541213,0.2428954487504998,0.4851063829787234
2026,Health_US,strong_numerical_only,TimesNet,3,high_volatility_window,65,1.8296771857438097,1.0943711809622936,1.3526556050021785,0.3093733242041683,0.5076923076923077
2026,Health_US,strong_numerical_only,PatchTST,3,event_window,235,1.017705603563349,0.6651814530927239,1.0088139588464013,0.26617052850527156,0.5404255319148936
2026,Health_US,strong_numerical_only,PatchTST,3,high_volatility_window,65,2.647626200202974,1.3308071579688634,1.6271527894463305,0.3930842823012521,0.5769230769230769
2026,Health_US,strong_raw_text_fusion,TimesNet,3,event_window,235,1.26779540863691,0.7655371341299504,1.1259642128579888,0.3409498282215919,0.46808510638297873
2026,Health_US,strong_raw_text_fusion,TimesNet,3,high_volatility_window,65,2.7858359515588274,1.3596370935440063,1.6690823681169324,0.39729867569351685,0.45384615384615384
2026,Health_US,strong_raw_text_fusion,PatchTST,3,event_window,235,1.0075243570337633,0.6650330616227278,1.0037551280236447,0.26662655581259426,0.5319148936170213
2026,Health_US,strong_raw_text_fusion,PatchTST,3,high_volatility_window,65,2.607641697768912,1.3229428572532458,1.6148194009761314,0.38879291484585593,0.5538461538461539
