seed,domain,method,horizon,mse,mae,rmse,mape,trend_f1,event_consistency,avg_selected_events,avg_tokens,groundedness,train_time_sec,inference_time_sec,llm_calls,token_cost_estimate
2026,Health_US,full_cents_feature,3,1.7720217666895932,1.010430275380053,1.3311730791634848,0.5025711264238563,0.6425531914893617,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_US,persistence,6,0.846096172240955,0.5462979610019926,0.919834861396846,0.264392826478024,0.0153714773697694,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,numerical_only,6,3.2100911176898648,1.3643743714781678,1.7916727150040168,0.7466321860452266,0.6604255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,raw_text_embedding,6,6.476062950097168,1.9469706400105404,2.544810985141562,0.9496408994679468,0.5174468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_US,event_no_verifier,6,2.867887327931548,1.2596473554173642,1.6934837843721882,0.6404359880443207,0.6306382978723404,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_US,event_with_verifier,6,3.318521829283993,1.3964413788161272,1.821681044882444,0.7523732882119322,0.6570212765957447,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_US,full_cents_feature,6,3.318521829283993,1.3964413788161272,1.821681044882444,0.7523732882119322,0.6570212765957447,0.4712230723522801,1199.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,persistence,3,0.0107171106506118,0.0534465411589745,0.1035234787408722,0.4444085278717301,0.0336456558773424,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,numerical_only,3,0.0026579936309314,0.0439279753741797,0.0515557332498668,1.8333539996231811,0.5361702127659574,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,raw_text_embedding,3,0.0661034035175984,0.2004738132905413,0.2571058216330358,5.209576213892021,0.4978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,event_no_verifier,3,0.0049401875846343,0.0581549770097069,0.0702864680051168,2.34056111012573,0.5148936170212766,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,event_with_verifier,3,0.0037707587403829,0.0501315355746841,0.061406504056028,1.6883173488809455,0.5063829787234042,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,full_cents_feature,3,0.0037707587403829,0.0501315355746841,0.061406504056028,1.6883173488809455,0.5063829787234042,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,persistence,6,0.0145402103307399,0.0646927475721921,0.1205827945054348,0.5672602720183425,0.0324508966695132,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,numerical_only,6,0.0045913376367904,0.0576867216117044,0.0677594099501351,2.468255876423472,0.5259574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,raw_text_embedding,6,0.0622833046564735,0.1942055034078976,0.2495662330053358,5.02552696939892,0.5004255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2026,Health_AFR,event_no_verifier,6,0.0081375783107273,0.0759017202081692,0.0902085268182965,3.070595766859024,0.505531914893617,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,event_with_verifier,6,0.0057869472716748,0.0622313436470324,0.0760719874308199,2.204865945965468,0.4868085106382979,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2026,Health_AFR,full_cents_feature,6,0.0057869472716748,0.0622313436470324,0.0760719874308199,2.204865945965468,0.4868085106382979,0.4350050495884297,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,persistence,3,0.0119464616695059,0.0737620670073821,0.1092998704002249,0.0267612317990631,0.0085178875638841,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,numerical_only,3,0.0197523501164096,0.0999501563559656,0.1405430543157848,0.0297638289500607,0.5468085106382978,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,raw_text_embedding,3,0.0452245040040381,0.1581111391781293,0.212660537016246,0.0473270635161242,0.5127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,event_no_verifier,3,0.028311939058621,0.1217927582732386,0.1682615198392698,0.0370607091334011,0.5638297872340425,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,event_with_verifier,3,0.0234868687890481,0.1090880904466171,0.1532542618952183,0.0327152490209328,0.5404255319148936,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,full_cents_feature,3,0.0234868687890481,0.1090880904466171,0.1532542618952183,0.0327152490209328,0.5404255319148936,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,persistence,6,0.0294510054084827,0.1135027042413891,0.1716129523330997,0.0414474290398584,0.0085397096498719,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,numerical_only,6,0.0635375666922228,0.1816855809536494,0.2520665917812649,0.0546877562852688,0.5182978723404256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,raw_text_embedding,6,0.1554776777371496,0.2914476460618703,0.3943065783589587,0.0866247298808745,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Energy,event_no_verifier,6,0.0846371368764218,0.2008438210870261,0.2909246240461983,0.0597849924493947,0.5276595744680851,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,event_with_verifier,6,0.0709345078895129,0.1868047683009768,0.2663353297809228,0.0561476736802238,0.5259574468085106,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Energy,full_cents_feature,6,0.0709345078895129,0.1868047683009768,0.2663353297809228,0.0561476736802238,0.5259574468085106,0.4278611585068818,450.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,persistence,3,0.4007673122678217,0.3621474236229415,0.6330618550093046,0.1655750769661395,0.0153321976149914,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,numerical_only,3,1.7155391782295488,0.9973995107621704,1.3097859283980526,0.5089521581515041,0.6446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,raw_text_embedding,3,3.0478455667573146,1.2808216734710325,1.7458079982510433,0.6419421287075746,0.5085106382978724,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,event_no_verifier,3,1.5076836331232089,0.8933289378028281,1.227877694692435,0.4250453731525204,0.6042553191489362,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,event_with_verifier,3,1.762580182337812,1.0157706417275496,1.327622002807204,0.5114200014867889,0.648936170212766,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,full_cents_feature,3,1.762580182337812,1.0157706417275496,1.327622002807204,0.5114200014867889,0.648936170212766,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,persistence,6,0.846096172240955,0.5462979610019926,0.919834861396846,0.264392826478024,0.0153714773697694,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,numerical_only,6,3.2100911176898648,1.3643743714781678,1.7916727150040168,0.7466321860452266,0.6604255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,raw_text_embedding,6,6.476062950097168,1.9469706400105404,2.544810985141562,0.9496408994679468,0.5174468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_US,event_no_verifier,6,2.8701516816281045,1.2601554722278736,1.6941522014353092,0.640877467197376,0.6280851063829788,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,event_with_verifier,6,3.2505257122922027,1.386966266343583,1.8029214381919705,0.7500769204124703,0.6595744680851063,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_US,full_cents_feature,6,3.2505257122922027,1.386966266343583,1.8029214381919705,0.7500769204124703,0.6595744680851063,0.4668523118030308,1199.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,persistence,3,0.0107171106506118,0.0534465411589745,0.1035234787408722,0.4444085278717301,0.0336456558773424,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,numerical_only,3,0.0026579936309314,0.0439279753741797,0.0515557332498668,1.8333539996231811,0.5361702127659574,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,raw_text_embedding,3,0.0661034035175984,0.2004738132905413,0.2571058216330358,5.209576213892021,0.4978723404255319,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,event_no_verifier,3,0.0049401430899703,0.0581546894375634,0.0702861514807177,2.3405436212032207,0.5148936170212766,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,event_with_verifier,3,0.0037706963286315,0.0501309326688659,0.0614059958687388,1.6883096902196724,0.5063829787234042,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,full_cents_feature,3,0.0037706963286315,0.0501309326688659,0.0614059958687388,1.6883096902196724,0.5063829787234042,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,persistence,6,0.0145402103307399,0.0646927475721921,0.1205827945054348,0.5672602720183425,0.0324508966695132,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,numerical_only,6,0.0045913376367904,0.0576867216117044,0.0677594099501351,2.468255876423472,0.5259574468085106,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,raw_text_embedding,6,0.0622833046564735,0.1942055034078976,0.2495662330053358,5.02552696939892,0.5004255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2027,Health_AFR,event_no_verifier,6,0.0081375218181958,0.0759013929094242,0.0902082136958481,3.0705763742715124,0.505531914893617,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,event_with_verifier,6,0.0057868862871512,0.0622309189872603,0.0760715865954646,2.2048607248126384,0.4868085106382979,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2027,Health_AFR,full_cents_feature,6,0.0057868862871512,0.0622309189872603,0.0760715865954646,2.2048607248126384,0.4868085106382979,0.4360120323353919,1198.0,11.0,1.0,0.0,0.0,0,0.0
2028,Energy,persistence,3,0.0119464616695059,0.0737620670073821,0.1092998704002249,0.0267612317990631,0.0085178875638841,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
