"seed","domain","method","source_model","horizon","history_length","epochs","batch_size","learning_rate","mse","mae","rmse","mape","trend_f1","train_time_sec","torch_device","best_val_scaled_mse"
"2028","Health_AFR","mmts_dlinear","DLinear","3","24","3","64","0.001","0.0026407993083388897","0.04123292422443892","0.05138870798472063","1.7754820723346945","0.5148936170212766","0.05158352851867676","cpu","0.1399098038673401"
"2028","Health_AFR","mmts_timesnet","TimesNet","3","24","3","64","0.001","0.0018759727156696714","0.030552491865695475","0.04331250068594137","1.0208638443961209","0.5127659574468085","0.587989330291748","cpu","0.13747666776180267"
"2028","Health_AFR","mmts_dlinear","DLinear","6","24","3","64","0.001","0.0034574531997679193","0.04757644375356852","0.05880011224281735","2.1023892126863157","0.49617021276595746","0.039132118225097656","cpu","0.15630242228507996"
"2028","Health_AFR","mmts_timesnet","TimesNet","6","24","3","64","0.001","0.0025449342642033666","0.03481071917175031","0.05044734149787644","1.181817052325245","0.48","0.606175422668457","cpu","0.17079393565654755"
"2026","Energy","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.0436909683254558","0.1514672262448791","0.20902384630815643","0.046254025112331947","0.5106382978723404","0.38422083854675293","cpu","0.030959229916334152"
"2026","Energy","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.05229580383421063","0.16452520181101266","0.2286827580606169","0.0500524241083543","0.4595744680851064","0.25964903831481934","cpu","0.031108645722270012"
"2026","Energy","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.06934711372697006","0.19044842238121845","0.26333840154252103","0.05849017856281002","0.465531914893617","0.39301466941833496","cpu","0.043549686670303345"
"2026","Energy","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.0932993338060821","0.22426108739054795","0.3054493964735928","0.06842866938143984","0.5012765957446809","0.24129319190979004","cpu","0.05336781218647957"
"2026","Health_US","mmts_patchtst","PatchTST","3","24","3","64","0.001","1.017705603563349","0.6651814530927239","1.0088139588464013","0.26617052850527156","0.5404255319148936","0.39080023765563965","cpu","0.9922498464584351"
"2026","Health_US","mmts_itransformer","iTransformer","3","24","3","64","0.001","1.0900882843651534","0.6780911205508184","1.0440729305777223","0.2660600636181923","0.41914893617021276","0.26764941215515137","cpu","0.9837325811386108"
"2026","Health_US","mmts_patchtst","PatchTST","6","24","3","64","0.001","1.509791853859311","0.8252106560882947","1.228735876362089","0.3297495973308498","0.4902127659574468","0.4176945686340332","cpu","1.4509766101837158"
"2026","Health_US","mmts_itransformer","iTransformer","6","24","3","64","0.001","1.9046405616117132","0.9411446366327029","1.38008715725193","0.3911392524039491","0.5046808510638298","0.2656369209289551","cpu","1.780542254447937"
"2026","Health_AFR","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.0018051474004398401","0.030180744901101324","0.04248702626025785","0.8870096469480526","0.4765957446808511","0.20876622200012207","cpu","0.11767645180225372"
"2026","Health_AFR","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.0019279986547161222","0.031226689603959096","0.04390898148119724","1.0214618769768995","0.5063829787234042","0.18307852745056152","cpu","0.1406245082616806"
"2026","Health_AFR","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.002554992264911498","0.03541738109180955","0.05054693131053059","1.1765330053176073","0.48425531914893616","0.2335829734802246","cpu","0.16806438565254211"
"2026","Health_AFR","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.002982052409437937","0.038460434011864005","0.054608171636101654","1.3517353916369454","0.49106382978723406","0.14823698997497559","cpu","0.1797471046447754"
"2027","Energy","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.05272184637164621","0.1659770500575397","0.22961238287959604","0.05046896563049847","0.4808510638297872","0.38048648834228516","cpu","0.03293183073401451"
"2027","Energy","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.05419471639089035","0.16975330325728613","0.23279758673768583","0.051895941676856926","0.502127659574468","0.23964524269104004","cpu","0.03342558816075325"
"2027","Energy","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.06862043863755443","0.18743582575033743","0.2619550317087924","0.05772008917158957","0.5089361702127659","0.40097951889038086","cpu","0.04625481739640236"
"2027","Energy","mmts_itransformer","iTransformer","6","24","3","64","0.001","0.09389596689852939","0.22569890910006585","0.306424488085612","0.0689267094888635","0.49446808510638296","0.24576830863952637","cpu","0.05430896580219269"
"2027","Health_US","mmts_patchtst","PatchTST","3","24","3","64","0.001","1.0385504029582977","0.682320181359636","1.0190929314632193","0.27892156253391226","0.48936170212765956","0.3762061595916748","cpu","0.9095622897148132"
"2027","Health_US","mmts_itransformer","iTransformer","3","24","3","64","0.001","1.1712665584866855","0.7129605736292846","1.0822506911463192","0.2811046497428998","0.5127659574468085","0.24911189079284668","cpu","0.9906725883483887"
"2027","Health_US","mmts_patchtst","PatchTST","6","24","3","64","0.001","1.4820018508597432","0.8112031291562615","1.2173749836676222","0.3277697387038784","0.516595744680851","0.40641236305236816","cpu","1.4060554504394531"
"2027","Health_US","mmts_itransformer","iTransformer","6","24","3","64","0.001","1.9189973363884356","0.9383046499803557","1.3852787937409696","0.38207613772231086","0.5242553191489362","0.2408919334411621","cpu","1.7644213438034058"
"2027","Health_AFR","mmts_patchtst","PatchTST","3","24","3","64","0.001","0.0017715049525672912","0.029046436999296994","0.042089249845623185","0.9213195458062883","0.4829787234042553","0.18648719787597656","cpu","0.12955845892429352"
"2027","Health_AFR","mmts_itransformer","iTransformer","3","24","3","64","0.001","0.0019990597414787587","0.03233386647279857","0.044710845904307815","1.0282376653391596","0.49148936170212765","0.17279624938964844","cpu","0.14100390672683716"
"2027","Health_AFR","mmts_patchtst","PatchTST","6","24","3","64","0.001","0.0025442621428896795","0.035167865172781525","0.0504406794451629","1.1919902779304308","0.4748936170212766","0.1743793487548828","cpu","0.16170744597911835"
