seed,domain,method,source_model,horizon,history_length,epochs,batch_size,learning_rate,mse,mae,rmse,mape,trend_f1,nmse,smape,relative_improvement_over_persistence,n_features,train_time_sec,torch_device,best_val_scaled_mse,rank_mse_in_domain_horizon
2026,Energy,strong_event_no_verifier,PatchTST,6,24,3,64,0.001,0.06919445740026345,0.1909465805858585,0.2630483936469931,0.05860399894436833,0.46127659574468083,0.13455671635384994,0.058710966259241104,-0.6828626033770179,14.0,0.49155759811401367,cpu,0.04526011273264885,13.0
2026,Energy,strong_event_with_verifier,TimesNet,6,24,3,64,0.001,0.06503095914048697,0.18061593424343894,0.25501168432149723,0.05589992030820333,0.49957446808510636,0.12646030696747676,0.05577956512570381,-0.5816031126049079,14.0,0.6139178276062012,cpu,0.04364979267120361,1.0
2026,Energy,strong_event_with_verifier,PatchTST,6,24,3,64,0.001,0.06919445740026345,0.1909465805858585,0.2630483936469931,0.05860399894436833,0.46127659574468083,0.13455671635384994,0.058710966259241104,-0.6828626033770179,14.0,0.47850561141967773,cpu,0.04526011273264885,13.0
2026,Health_US,strong_numerical_only,TimesNet,3,24,3,64,0.001,0.7632072077459444,0.5770366656864788,0.8736173119541213,0.2428954487504998,0.4851063829787234,0.29397139764367664,0.22077859938144684,-0.37393923379837024,10.0,0.633469820022583,cpu,0.4365343451499939,1.0
2026,Health_US,strong_numerical_only,PatchTST,3,24,3,64,0.001,1.017705603563349,0.6651814530927239,1.0088139588464013,0.26617052850527156,0.5404255319148936,0.3919988381044072,0.2574169933795929,-0.8320917871331067,10.0,0.4255411624908447,cpu,0.9922498464584351,8.0
2026,Health_US,strong_raw_text_fusion,TimesNet,3,24,3,64,0.001,1.26779540863691,0.7655371341299504,1.1259642128579888,0.3409498282215919,0.46808510638297873,0.48832818194150374,0.2902255356311798,-1.282307916745358,26.0,0.6350045204162598,cpu,0.8952708840370178,23.0
2026,Health_US,strong_raw_text_fusion,PatchTST,3,24,3,64,0.001,1.0075243570337633,0.6650330616227278,1.0037551280236447,0.26662655581259426,0.5319148936170213,0.38807723563304614,0.2624698281288147,-0.8137633254597892,26.0,0.641603946685791,cpu,0.8649004697799683,7.0
2026,Health_US,strong_event_no_verifier,TimesNet,3,24,3,64,0.001,1.0932118330505467,0.6936622376983047,1.045567708496464,0.27242699006853477,0.5170212765957447,0.4210822529200395,0.26645627617836,-0.9680194487638621,15.0,0.6481184959411621,cpu,0.6826691627502441,19.0
2026,Health_US,strong_event_no_verifier,PatchTST,3,24,3,64,0.001,1.0030700867745999,0.6615506546717164,1.0015338670132927,0.2639537050033358,0.5319148936170213,0.3863615442188675,0.25606781244277954,-0.8057446686587346,15.0,0.5072846412658691,cpu,0.8531669974327087,5.0
2026,Health_US,strong_event_with_verifier,TimesNet,3,24,3,64,0.001,1.0585290855260918,0.6796052212410785,1.0288484268958629,0.26861734211006016,0.5085106382978724,0.40772318652180817,0.261437326669693,-0.9055829478029931,15.0,0.6343505382537842,cpu,0.6607499122619629,14.0
2026,Health_US,strong_event_with_verifier,PatchTST,3,24,3,64,0.001,1.0030700867745999,0.6615506546717164,1.0015338670132927,0.2639537050033358,0.5319148936170213,0.3863615442188675,0.25606781244277954,-0.8057446686587346,15.0,0.5120656490325928,cpu,0.8531669974327087,5.0
2026,Health_US,strong_numerical_only,TimesNet,6,24,3,64,0.001,1.5003602857902272,0.8464178273441099,1.2248919486184189,0.3634148939354672,0.5097872340425532,0.5773969298555035,0.32703375816345215,-0.3354138481097412,10.0,0.6251935958862305,cpu,0.9911575317382812,7.0
2026,Health_US,strong_numerical_only,PatchTST,6,24,3,64,0.001,1.509791853859311,0.8252106560882947,1.228735876362089,0.3297495973308498,0.4902127659574468,0.5810265636830504,0.31720250844955444,-0.3438085295260187,10.0,0.4244272708892822,cpu,1.4509766101837158,12.0
2026,Health_US,strong_raw_text_fusion,TimesNet,6,24,3,64,0.001,1.89189049820579,0.9510703969509043,1.3754601041854286,0.41965283892156124,0.5106382978723404,0.7280729672949714,0.3587322235107422,-0.683900056765756,26.0,0.6125376224517822,cpu,1.4347052574157715,24.0
2026,Health_US,strong_raw_text_fusion,PatchTST,6,24,3,64,0.001,1.5005825290045265,0.8200921766724146,1.2249826647771496,0.3235630153265356,0.48340425531914893,0.5774824576789422,0.31811463832855225,-0.3356116583749385,26.0,0.6435954570770264,cpu,1.435544490814209,8.0
2026,Health_US,strong_event_no_verifier,TimesNet,6,24,3,64,0.001,1.6495615978796447,0.8877017435875345,1.2843525987358941,0.3710487417805193,0.4902127659574468,0.6348153915055124,0.3392041027545929,-0.4682122833971766,15.0,0.6076035499572754,cpu,1.2661921977996826,17.0
2026,Health_US,strong_event_no_verifier,PatchTST,6,24,3,64,0.001,1.5071722855886192,0.8223984932223111,1.2276694529019687,0.32651380617003856,0.4825531914893617,0.5800184520372215,0.3182237446308136,-0.34147695105258014,15.0,0.49712538719177246,cpu,1.4113208055496216,9.0
2026,Health_US,strong_event_with_verifier,TimesNet,6,24,3,64,0.001,1.5719642382353562,0.8657183079009361,1.2537799799946385,0.367266372805978,0.5029787234042553,0.6049529127076899,0.331877738237381,-0.39914581341183125,15.0,0.643395185470581,cpu,1.2039793729782104,14.0
2026,Health_US,strong_event_with_verifier,PatchTST,6,24,3,64,0.001,1.5071722855886192,0.8223984932223111,1.2276694529019687,0.32651380617003856,0.4825531914893617,0.5800184520372215,0.3182237446308136,-0.34147695105258014,15.0,0.46236276626586914,cpu,1.4113208055496216,9.0
2026,Health_AFR,strong_numerical_only,TimesNet,3,24,3,64,0.001,0.001526811963929733,0.027681243242960132,0.039074441313085115,0.8950884588381885,0.49148936170212765,0.4677727812290003,0.46167317032814026,-0.5525808381689236,1.0,0.6568667888641357,cpu,0.1153118833899498,1.0
2026,Health_AFR,strong_numerical_only,PatchTST,3,24,3,64,0.001,0.0018051474004398401,0.030180744901101324,0.04248702626025785,0.8870096469480526,0.4765957446808511,0.5530470286980964,0.48215535283088684,-0.8356139002080308,1.0,0.2283306121826172,cpu,0.11767645180225372,9.0
2026,Health_AFR,strong_raw_text_fusion,TimesNet,3,24,3,64,0.001,0.002894132521337555,0.038687192049234154,0.05379714231571743,1.2158399959495914,0.4702127659574468,0.8866818250932121,0.577501654624939,-1.9429784426008043,17.0,0.660956621170044,cpu,0.17475526034832,24.0
2026,Health_AFR,strong_raw_text_fusion,PatchTST,3,24,3,64,0.001,0.0016539879108593827,0.028629730647456244,0.04066925018806448,0.8585933088912338,0.48936170212765956,0.5067359592798187,0.4599275290966034,-0.6819032059153484,17.0,0.5184531211853027,cpu,0.11611660569906235,2.0
2026,Health_AFR,strong_event_no_verifier,TimesNet,3,24,3,64,0.001,0.0026434084516840455,0.037020737088965715,0.051414088066249364,1.1814348886570416,0.48936170212765956,0.8098669335717875,0.5599068403244019,-1.6880227601670215,6.0,0.6592354774475098,cpu,0.1676204651594162,22.0
2026,Health_AFR,strong_event_no_verifier,PatchTST,3,24,3,64,0.001,0.001666346906621778,0.028769398634222912,0.04082091261377896,0.8574217496496226,0.4829787234042553,0.5105224123320292,0.4617319107055664,-0.6944707914812348,6.0,0.33699655532836914,cpu,0.11727787554264069,3.0
2026,Health_AFR,strong_event_with_verifier,TimesNet,3,24,3,64,0.001,0.002583778653260227,0.03670073557968734,0.05083088286917931,1.270597764622584,0.5446808510638298,0.7915980194475869,0.5501490831375122,-1.6273865557071008,6.0,0.651064395904541,cpu,0.16610367596149445,21.0
2026,Health_AFR,strong_event_with_verifier,PatchTST,3,24,3,64,0.001,0.001666346906621778,0.028769398634222912,0.04082091261377896,0.8574217496496226,0.4829787234042553,0.5105224123320292,0.4617319107055664,-0.6944707914812348,6.0,0.34691643714904785,cpu,0.11727787554264069,3.0
2026,Health_AFR,strong_numerical_only,TimesNet,6,24,3,64,0.001,0.0026169817146226093,0.0358507149968402,0.0511564435298488,1.2776167780411187,0.49617021276595746,0.7684287330345477,0.5320506691932678,-0.6111063657448267,1.0,0.6393272876739502,cpu,0.15911297500133514,11.0
